54395	115871	632
148659	170777	379
235413	261775	175
333751	344055	44
357881	365644	22
428997	442287	91
443404	451812	53
491888	504974	75
544610	583461	191
759213	760300	8
822252	824308	14
962936	972221	61
1001076	1007742	63
1343433	1345969	11
1625417	1629034	56
1630335	1632580	6
1649090	1651595	17
1846230	1854132	68
1964243	1980500	96
1982116	2018003	217
2043673	2048084	22
2363289	2376540	62
2377545	2379977	17
2399705	2414065	86
2457586	2490372	195
2491400	2494354	25
2582462	2638326	475
2660942	2692776	151
2871308	2879691	61
2915696	2935110	114
3032441	3071564	255
3316800	3326487	66
3541712	3577099	177
3737877	3748253	92
3749816	3767470	471
3768555	3794572	145
3826676	3838174	50
3844210	3854018	61
3870849	3877957	35
3923829	3928256	21
3944319	3950697	28
3965038	3972131	45
4064960	4069597	21
4071015	4091558	146
4116077	4165778	647
4225939	4237695	83
4317651	4368659	383
4383709	4391259	47
4674294	4688080	76
4702960	4737717	210
4739019	4746791	68
4748005	4754103	44
4755667	4769253	95
4770289	4810651	336
4853122	4900046	455
5121568	5130031	35
5131344	5134291	10
5157949	5187708	155
5242946	5244126	8
5291127	5293061	10
5329609	5331978	16
5456537	5467841	84
5698915	5705602	28
5718012	5736463	105
6002299	6007964	30
6009088	6015724	34
6345106	6360845	142
6443552	6454647	112
6770445	6790475	121
6791600	6922035	937
7023281	7034624	73
7035760	7041939	29
7223817	7313124	1231
7319527	8016587	6007
8166631	8179035	87
8180127	8187131	27
8738847	8753676	116
9903086	9912161	46
9923761	9927364	25
9928503	9951800	140
9952944	9953944	8
10048325	10063404	125
10410017	10415501	28
10463132	10477715	54
10481902	10509437	152
10513357	10524896	62
10635208	10676646	342
10734550	10786886	382
10836246	10944462	1090
11066237	11083583	103
11224421	11229825	26
11506203	11551474	236
11552597	11554669	12
11646415	11671473	195
11672909	11677307	30
11697883	11704118	93
11746798	11747788	15
11869019	11872478	17
11904990	11917170	63
11956447	11971406	100
12030007	12038894	45
12040011	12055098	99
12369063	12391783	119
12410259	12433547	129
12445470	12465732	128
12646839	12664839	88
12676354	12681302	47
12695983	12711530	84
12834050	12851397	95
12939279	12951030	53
12952326	12957522	31
12960518	12985463	93
13026444	13052584	163
13085685	13108965	144
13171215	13180682	50
13181723	13209337	255
13211028	13213618	13
13397597	13409762	55
13439069	13446258	56
13528558	13565246	162
13594352	13604327	81
13626315	13630250	21
13711345	13727971	104
13755935	13765782	45
14009697	14017950	35
14018985	14030517	88
14032093	14041442	46
14052164	14065294	97
14073505	14077058	18
14121145	14124315	16
14243655	14251077	39
14375040	14399633	192
14400909	14413579	62
14465135	14470738	48
14503518	14533121	304
14660394	14684922	202
14729673	14731276	12
14984961	14991904	36
15111193	15140790	305
15149374	15172238	271
15230733	15243403	61
15369617	15374787	57
15833384	15936260	962
15940339	15952606	261
15973762	15985483	73
16064618	16069707	18
16166868	16171350	18
16172950	16175143	12
16215799	16239478	115
16253510	16258281	28
16462494	16463234	6
16661453	16663949	17
16697277	16701129	12
16718618	16742790	175
16754857	16766926	59
16768351	16771244	9
17219166	17226107	38
17227740	17230289	7
17235073	17244573	39
17344947	17350713	50
17486643	17491118	18
17514237	17519965	26
17540177	17551870	110
17635804	17668063	250
17798406	17801529	13
17951462	17961817	41
17972946	17973738	11
17992707	17997509	24
18004819	18008243	17
18031138	18037630	38
18539116	18550440	52
18551693	18557302	35
18589221	18600540	52
18601571	18611411	46
19005846	19011682	25
19035412	19041415	66
19043912	19060395	104
19508249	19530539	178
19816957	19868156	370
20290673	20299193	71
20555909	20559025	32
20630162	20634630	37
20662198	20676937	59
20944151	21032718	799
21112838	21165916	442
21167303	21200999	244
21821824	21909550	556
21910903	21939072	175
21940123	21969012	158
22458114	22493252	231
22523734	22525533	9
22526735	22544704	116
22688015	22711361	179
22712431	22715547	32
22753960	22797538	276
22850374	22934084	548
22982667	23053369	472
23061014	23113062	337
23114244	23223077	943
23224289	23280594	374
