START	END	SITES
---------------------------------------------------------
52	400	26
917	918	1
1228	1229	1
1529	1764	14
2214	2215	1
2454	2869	8
3295	3296	1
3839	3840	1
4079	4186	3
4760	4793	3
5009	6804	51
7314	7315	1
7861	9179	51
9399	9767	5
10859	10860	1
11108	11109	1
11475	11476	1
11764	11900	3
12106	12107	1
12364	12932	8
13268	13269	1
13942	15073	19
15285	16558	18
17039	17171	4
17451	17452	1
17859	18133	4
18348	18349	1
18669	18805	4
19055	19116	2
19390	19721	8
19943	20028	2
20747	20982	4
21757	21758	1
21965	21966	1
22300	22913	7
23769	23941	4
24206	24703	7
25094	25181	2
25861	25915	2
26133	26208	3
27495	27496	1
27705	27706	1
28008	28009	1
28338	28339	1
28553	28554	1
28800	29126	5
29757	29758	1
30042	30143	2
30373	30470	2
31299	31801	8
32179	32268	2
32525	32915	4
33717	34110	9
34430	34969	10
35317	35448	2
35859	35860	1
36238	36595	10
36909	36997	5
37402	37538	5
38033	38034	1
38309	38510	6
38738	38940	3
39227	39834	9
40127	40430	6
40689	40690	1
41042	41043	1
42370	42425	3
42820	42821	1
43157	43193	3
43474	43493	2
43760	43996	5
44219	44220	1
44786	44985	3
45234	45235	1
45539	45540	1
45813	46149	4
46944	47213	10
48311	48618	5
48851	49281	6
49514	49599	2
50048	50278	7
50841	50934	3
51549	51550	1
51830	52028	3
52331	52332	1
52822	52823	1
53087	53088	1
54395	55232	10
55794	55949	2
56176	56363	3
56763	56764	1
56984	57848	27
58172	58336	4
58538	61253	97
61480	61486	2
61914	62298	10
62573	62794	7
63069	63100	2
63306	64507	18
65051	65295	6
65541	66104	7
66688	66743	2
67046	67079	2
67532	67552	2
67783	67986	3
68350	68823	8
69310	69734	25
69985	70112	3
70340	70341	1
70581	70582	1
70866	70867	1
71093	71261	2
71626	71814	3
72042	72043	1
72244	72772	12
73066	73280	5
73651	73652	1
74015	74016	1
74222	74223	1
74493	75006	16
75234	75402	5
75672	75715	2
75921	76659	11
77055	77132	2
77371	77372	1
77719	77735	2
78420	78735	4
78976	78977	1
79185	79220	2
79651	79652	1
79906	79907	1
80287	80699	8
81059	81093	2
81304	81747	7
82127	82293	3
83132	83133	1
83500	83784	6
84281	84851	16
85404	85874	6
86075	87126	17
87359	87409	2
87990	88339	7
88800	89712	13
89991	89992	1
90271	90272	1
90540	90541	1
90747	91140	12
91716	91904	2
92128	92268	2
92552	92893	3
93388	93670	4
93881	93882	1
94387	94457	2
94687	94688	1
95063	96178	15
96422	96902	13
97170	97360	3
98022	98100	2
98570	98571	1
98874	98883	2
99160	99694	5
100013	100014	1
100285	100319	2
100919	101426	16
101931	102326	5
102803	103203	8
103519	103845	10
104077	104476	5
104768	104949	5
105432	106239	14
106457	106709	5
107047	107167	3
107917	107918	1
108549	108805	5
109175	109176	1
109656	110518	29
110997	111608	6
111818	111819	1
112304	112728	13
112944	112945	1
113178	113179	1
114017	114280	15
114551	114580	3
114870	115002	2
115626	115871	3
117364	117844	7
118242	118477	5
118829	118830	1
119481	119757	12
120312	120313	1
121511	121711	2
122354	122355	1
122764	122973	8
123807	123839	2
124040	124668	8
125251	125470	8
125715	125897	5
126144	126537	3
127064	127080	2
127432	127433	1
128037	128295	3
128724	129437	11
129723	129898	4
130243	130367	2
130728	130729	1
130930	130931	1
131624	131625	1
132474	132629	2
133100	133669	8
133894	134156	13
134669	134670	1
135218	135333	4
135801	135802	1
136290	136291	1
136643	136683	2
136944	137125	3
137404	137857	8
138230	138423	2
138674	138768	2
139139	139140	1
139562	139720	4
139961	139962	1
140286	140287	1
140695	141271	10
141530	141531	1
142090	142091	1
142557	142558	1
142866	142867	1
143113	143315	3
143542	143543	1
144243	144244	1
144598	144599	1
145280	145281	1
145916	145917	1
146218	146219	1
146453	146626	2
147086	147087	1
147419	147420	1
148659	148660	1
148949	149192	4
149465	150147	19
150608	150849	3
151074	151075	1
151331	151360	2
152050	152113	3
152357	152974	15
153238	155160	163
155365	156136	26
156336	156911	26
157172	157443	9
157816	158095	7
158412	158507	3
158821	158952	4
159410	159411	1
159773	159774	1
160216	161135	10
161619	161620	1
161886	162428	11
162741	162742	1
163017	163563	10
164082	164300	6
164788	164789	1
165044	165045	1
165337	166042	11
166367	166368	1
166736	166737	1
167316	167317	1
167622	167656	2
167956	168100	3
168333	168357	4
168702	168869	4
169148	169425	5
169715	169716	1
170187	170777	17
172022	172157	2
172936	173060	2
173350	173351	1
173563	173564	1
173788	173789	1
174137	174311	3
174690	174857	3
175082	175265	5
175651	176264	6
176492	176722	3
177049	177129	2
177416	177500	3
177907	177938	2
178349	178521	3
179130	179131	1
179991	180377	5
180605	180606	1
180950	181169	5
181389	181390	1
181639	181640	1
182125	182126	1
182445	182933	5
183268	183319	2
183532	183533	1
183784	183858	3
184325	184326	1
184711	184712	1
185032	185229	3
185433	185464	3
185867	185915	2
186126	186386	7
186831	187253	13
188129	188130	1
189084	189272	2
189579	189580	1
190115	190173	2
190427	190588	4
190917	191070	3
191471	191472	1
191681	191909	5
192448	192517	2
192843	193005	3
193391	193392	1
193713	193714	1
194014	194158	2
194446	194502	3
194748	195707	18
196001	196002	1
196217	196218	1
196451	196536	2
196880	196930	2
197215	197216	1
197451	197452	1
197750	198501	16
198719	198720	1
199005	199098	2
199702	199703	1
200110	200111	1
200612	200683	2
201109	201259	2
201505	201654	4
202338	202379	2
202633	202638	2
202893	203388	10
203727	203923	4
204126	204287	4
205049	205050	1
205301	205538	5
205825	206139	8
207135	207152	2
207402	207527	4
208156	208563	9
209555	209755	3
209985	209986	1
210960	210961	1
211616	211852	6
212335	212336	1
212584	212585	1
213447	213448	1
213830	213983	3
214447	214448	1
215289	215290	1
215693	215694	1
215968	217577	61
217899	218163	5
218621	218622	1
218975	219239	5
219458	219670	5
220009	220010	1
220276	220277	1
